invoice_id,order_date,customer_id,customer_segment,region,sales_channel,category,product,quantity,unit_price,discount,revenue,profit
INV-10001,2024-01-01,CUST-0105,Consumer,Larnaca,Online,Home & Living,Desk Lamp,1,26.53,0.05,25.2,10.49
INV-10002,2024-01-01,CUST-0239,Consumer,Larnaca,Online,Fitness,Yoga Mat,2,19.4,0.05,36.86,15.13
INV-10003,2024-01-01,CUST-0460,Consumer,Larnaca,Retail Store,Office Supplies,Pen Set,1,7.59,0.05,7.21,2.94
INV-10004,2024-01-01,CUST-0285,Consumer,Larnaca,Online,Home & Living,Desk Lamp,4,18.0,0.0,72.0,21.15
INV-10005,2024-01-01,CUST-0353,Consumer,Nicosia,Online,Fitness,Water Bottle,3,5.8,0.05,16.53,6.45
INV-10006,2024-01-01,CUST-0301,Consumer,Limassol,Marketplace,Home & Living,Plant Pot,2,23.55,0.1,42.39,12.78
INV-10007,2024-01-01,CUST-0234,Consumer,Limassol,Retail Store,Home & Living,Wall Clock,2,39.92,0.1,71.86,25.85
INV-10008,2024-01-01,CUST-0374,Consumer,Paphos,Online,Fitness,Resistance Bands,1,20.09,0.0,20.09,8.07
INV-10009,2024-01-01,CUST-0176,Consumer,Larnaca,Retail Store,Electronics,USB-C Hub,2,37.19,0.05,70.66,20.67
INV-10010,2024-01-01,CUST-0225,Consumer,Limassol,Marketplace,Office Supplies,Printer Paper,3,11.34,0.1,30.62,9.95
INV-10011,2024-01-01,CUST-0275,Consumer,Nicosia,Online,Home & Living,Desk Lamp,1,19.42,0.0,19.42,6.97
INV-10012,2024-01-02,CUST-0406,Consumer,Paphos,Online,Fitness,Skipping Rope,1,19.04,0.15,16.18,4.24
INV-10013,2024-01-02,CUST-0270,Consumer,Nicosia,Online,Home & Living,Storage Box,1,18.77,0.1,16.89,5.8
INV-10014,2024-01-02,CUST-0522,Enterprise,Limassol,Online,Electronics,Webcam,2,47.84,0.05,90.9,32.99
INV-10015,2024-01-02,CUST-0066,Small Business,Nicosia,Online,Home & Living,Desk Lamp,3,21.19,0.0,63.57,20.66
INV-10016,2024-01-02,CUST-0012,Small Business,Limassol,Marketplace,Electronics,Monitor Stand,1,55.06,0.1,49.55,13.76
INV-10017,2024-01-02,CUST-0301,Consumer,Larnaca,Retail Store,Office Supplies,Folders,2,9.29,0.0,18.58,7.45
INV-10018,2024-01-02,CUST-0109,Consumer,Famagusta,Retail Store,Electronics,USB-C Hub,1,34.04,0.15,28.93,8.08
INV-10019,2024-01-02,CUST-0544,Small Business,Larnaca,Online,Office Supplies,Folders,4,10.75,0.15,36.55,15.51
INV-10020,2024-01-02,CUST-0315,Small Business,Nicosia,Marketplace,Electronics,Monitor Stand,1,34.09,0.0,34.09,9.94
INV-10021,2024-01-03,CUST-0071,Consumer,Famagusta,Online,Office Supplies,Folders,2,8.47,0.2,13.55,4.87
INV-10022,2024-01-03,CUST-0272,Consumer,Nicosia,Retail Store,Electronics,Keyboard,1,55.56,0.05,52.78,20.66
INV-10023,2024-01-03,CUST-0320,Small Business,Famagusta,Retail Store,Home & Living,Storage Box,4,7.69,0.0,30.76,12.1
INV-10024,2024-01-03,CUST-0231,Consumer,Limassol,Retail Store,Home & Living,Wall Clock,4,25.27,0.0,101.08,38.09
INV-10025,2024-01-03,CUST-0061,Consumer,Nicosia,Online,Office Supplies,Folders,2,19.12,0.0,38.24,12.77
INV-10026,2024-01-03,CUST-0220,Consumer,Nicosia,Online,Fitness,Water Bottle,3,18.44,0.05,52.55,18.13
INV-10027,2024-01-03,CUST-0417,Consumer,Limassol,Online,Home & Living,Cushion,3,34.56,0.0,103.68,38.26
INV-10028,2024-01-03,CUST-0056,Small Business,Limassol,Online,Office Supplies,Printer Paper,4,7.4,0.05,28.12,8.58
INV-10029,2024-01-03,CUST-0112,Small Business,Nicosia,Retail Store,Fitness,Yoga Mat,1,13.96,0.0,13.96,4.68
INV-10030,2024-01-03,CUST-0078,Consumer,Nicosia,Online,Office Supplies,Printer Paper,1,4.6,0.0,4.6,1.95
INV-10031,2024-01-03,CUST-0016,Consumer,Nicosia,Retail Store,Fitness,Skipping Rope,3,10.59,0.2,25.42,8.86
INV-10032,2024-01-03,CUST-0411,Consumer,Nicosia,Retail Store,Fitness,Resistance Bands,1,18.49,0.15,15.72,6.42
INV-10033,2024-01-03,CUST-0466,Small Business,Famagusta,Online,Office Supplies,Notebook,5,8.02,0.0,40.1,13.51
INV-10034,2024-01-04,CUST-0223,Consumer,Larnaca,Retail Store,Home & Living,Cushion,2,15.91,0.2,25.46,8.01
INV-10035,2024-01-04,CUST-0489,Consumer,Nicosia,Online,Electronics,Webcam,1,26.6,0.05,25.27,7.2
INV-10036,2024-01-04,CUST-0071,Small Business,Nicosia,Retail Store,Fitness,Resistance Bands,2,13.47,0.05,25.59,8.17
INV-10037,2024-01-04,CUST-0041,Consumer,Limassol,Marketplace,Home & Living,Storage Box,1,23.5,0.05,22.32,5.33
INV-10038,2024-01-04,CUST-0322,Consumer,Limassol,Online,Electronics,Webcam,1,36.38,0.0,36.38,10.96
INV-10039,2024-01-04,CUST-0010,Enterprise,Limassol,Marketplace,Electronics,USB-C Hub,1,20.06,0.0,20.06,6.19
INV-10040,2024-01-04,CUST-0358,Consumer,Nicosia,Online,Fitness,Yoga Mat,4,17.68,0.15,60.11,22.68
INV-10041,2024-01-04,CUST-0310,Consumer,Nicosia,Online,Fitness,Water Bottle,1,24.19,0.05,22.98,6.63
INV-10042,2024-01-04,CUST-0107,Consumer,Nicosia,Marketplace,Fitness,Skipping Rope,3,5.51,0.15,14.05,6.1
INV-10043,2024-01-05,CUST-0289,Consumer,Paphos,Retail Store,Office Supplies,Notebook,3,11.18,0.05,31.86,11.12
INV-10044,2024-01-05,CUST-0258,Consumer,Larnaca,Marketplace,Home & Living,Storage Box,1,21.68,0.15,18.43,6.47
INV-10045,2024-01-05,CUST-0342,Consumer,Larnaca,Marketplace,Home & Living,Desk Lamp,3,22.2,0.1,59.94,16.79
INV-10046,2024-01-05,CUST-0010,Small Business,Nicosia,Online,Home & Living,Wall Clock,2,19.08,0.0,38.16,14.61
INV-10047,2024-01-05,CUST-0152,Consumer,Limassol,Marketplace,Fitness,Resistance Bands,2,18.05,0.0,36.1,12.34
INV-10048,2024-01-05,CUST-0367,Small Business,Paphos,Retail Store,Office Supplies,Desk Organizer,6,6.84,0.0,41.04,15.04
INV-10049,2024-01-06,CUST-0159,Small Business,Limassol,Retail Store,Office Supplies,Notebook,1,12.0,0.15,10.2,3.95
INV-10050,2024-01-06,CUST-0026,Small Business,Famagusta,Marketplace,Office Supplies,Pen Set,5,11.89,0.0,59.45,19.43
INV-10051,2024-01-06,CUST-0274,Small Business,Paphos,Marketplace,Fitness,Foam Roller,1,16.57,0.0,16.57,6.85
INV-10052,2024-01-06,CUST-0472,Consumer,Paphos,Marketplace,Home & Living,Plant Pot,2,17.24,0.0,34.48,12.12
INV-10053,2024-01-06,CUST-0286,Consumer,Nicosia,Retail Store,Home & Living,Storage Box,2,23.58,0.15,40.09,15.33
INV-10054,2024-01-06,CUST-0550,Consumer,Limassol,Retail Store,Fitness,Water Bottle,1,20.83,0.0,20.83,7.33
INV-10055,2024-01-06,CUST-0112,Consumer,Nicosia,Marketplace,Office Supplies,Desk Organizer,4,14.6,0.05,55.48,22.4
INV-10056,2024-01-06,CUST-0195,Consumer,Limassol,Marketplace,Office Supplies,Desk Organizer,2,11.2,0.0,22.4,7.44
INV-10057,2024-01-06,CUST-0202,Small Business,Limassol,Marketplace,Home & Living,Desk Lamp,2,30.11,0.0,60.22,18.0
INV-10058,2024-01-06,CUST-0308,Consumer,Larnaca,Retail Store,Office Supplies,Desk Organizer,1,11.47,0.05,10.9,5.18
